pair_id,cause,effect,prompt
"pair0103,",the time interval between passing the third and the fourth light barrier of a ball track,the initial position of the ball in the track,does changing the time interval between passing the third and the fourth light barrier of a ball track cause a change in the initial position of the ball in the track? Please answer in a single word: Yes or No.
"pair0104,",the time interval between passing the first and the second light barrier of a ball track,the time interval between passing the third and the fourth light barrier of the track,does changing the time interval between passing the first and the second light barrier of a ball track cause a change in the time interval between passing the third and the fourth light barrier of the track? Please answer in a single word: Yes or No.
"pair0104,",the time interval between passing the third and the fourth light barrier of a ball track,the time interval between passing the first and the second light barrier of the track,does changing the time interval between passing the third and the fourth light barrier of a ball track cause a change in the time interval between passing the first and the second light barrier of the track? Please answer in a single word: Yes or No.
"pair0105,",the pixel vector of a patch,the total brightness of the screen,does changing the pixel vector of a patch cause a change in the total brightness of the screen? Please answer in a single word: Yes or No.
"pair0105,",the total brightness of the screen,the pixel vector of a patch,does changing the total brightness of the screen cause a change in the pixel vector of a patch? Please answer in a single word: Yes or No.
"pair0106,",the time required for one round by an electric toy locomotive,its input voltage,does changing the time required for one round by an electric toy locomotive cause a change in its input voltage? Please answer in a single word: Yes or No.
"pair0106,",the input voltage of an electric toy locomotive,its time required for one round,does changing the input voltage of an electric toy locomotive cause a change in its time required for one round? Please answer in a single word: Yes or No.
"pair0107,",the contrast of tilted Gabor patches,the accuracy of detection of tilt by participants,does changing the contrast of tilted Gabor patches cause a change in the accuracy of detection of tilt by participants? Please answer in a single word: Yes or No.
"pair0107,",the accuracy of detection of tilt of Gabor patches by participants,contrast of the Gabor patches,does changing the accuracy of detection of tilt of Gabor patches by participants cause a change in contrast of the Gabor patches? Please answer in a single word: Yes or No.
"pair0108,",the time for 1/6 rotation of a Stirling engine,the temperature of its heat bath,does changing the time for 1/6 rotation of a Stirling engine cause a change in the temperature of its heat bath? Please answer in a single word: Yes or No.
"pair0108,",the temperature of the heat bath of a Stirling engine,time it takes for 1/6 rotation,does changing the temperature of the heat bath of a Stirling engine cause a change in time it takes for 1/6 rotation? Please answer in a single word: Yes or No.
